resume_id,name,email,phone,age,education,university,graduation_year,total_experience,job_history,skills,certifications,projects,last_job_title,last_company,summary,location,languages,is_relevant
9096da72-3f8a-4cef-a75f-26dae774ad5c,Alyssa Ramos,melissa75@example.net,+1-449-877-8232,31,High School,N/A,2019,8,"[{'title': 'Engineering Manager', 'duration': 1, 'company': 'Frost and Sons'}, {'title': 'Security Specialist', 'duration': 7, 'company': 'Scott Inc'}]","Python, Java, JavaScript, C++, SQL, NoSQL, AWS, Docker, React, Angular, Machine Learning, Data Analysis, Spark, Communication, Teamwork, Leadership, Problem Solving, Time Management",Yes,1,Engineering Manager,Frost and Sons,"My knowledge worker buy support fly during. Marriage form thus media shake rate.
Seven owner consider account employee. Affect police old other simple five. About this their car raise company reflect.
Tree friend before success only analysis involve. Sea phone team. World industry seek reason one.",South Donna,"English, Chinese",0
1d3e582d-7ae0-474c-b99f-dc43cdae541d,Ann Navarro,christinemiranda@example.org,001-498-233-9127,48,Bachelor's Degree,Polytechnic Institute,2011,10,"[{'title': 'Data Analyst', 'duration': 10, 'company': 'Cantu-Cox'}]","Python, Java, JavaScript, SQL, NoSQL, Azure, Kubernetes, React, Angular, Machine Learning, TensorFlow, Hadoop, Communication, Teamwork, Leadership, Time Management, Creativity",No,1,Data Analyst,Cantu-Cox,"Father head listen affect guy the then themselves.
So there responsibility produce. Forget teach near tonight interview appear west.
Whose report focus. Color response like those. Adult body budget game fire since about. Also production experience once year.",Cooperbury,English,0
011fdd50-d783-448c-8446-0ff841e04a72,Jason Cobb,satkins@example.com,(846)703-1750,47,Bachelor's Degree,Mountain State College,1998,24,"[{'title': 'Frontend Developer', 'duration': 1, 'company': 'Wilson, Fields and Lee'}, {'title': 'Data Analyst', 'duration': 22, 'company': 'Thompson PLC'}, {'title': 'QA Engineer', 'duration': 1, 'company': 'Robertson Ltd'}]","Python, Java, JavaScript, C++, SQL, NoSQL, AWS, React, Angular, Machine Learning, Data Analysis, TensorFlow, Spark, Communication, Teamwork, Leadership, Problem Solving, Time Management, Creativity",Yes,1,Frontend Developer,"Wilson, Fields and Lee","Inside Republican never theory power agreement compare. First write rate medical past.
Amount poor best.
Popular interesting later bar their doctor leg nothing. General miss blue industry detail structure agreement after.",Lake Debra,"English, Chinese",1
de524c9b-1f57-4c3e-bc8e-f8b3d61df42e,Samuel Griffith,dennis76@example.org,297.947.6958x26432,23,Master's Degree,Oceanview University,2001,0,[],"Python, Java, JavaScript, C++, SQL, NoSQL, AWS, Azure, Angular, Machine Learning, Data Analysis, Communication, Teamwork, Problem Solving, Creativity",Yes,7,N/A,N/A,"Every field describe. Team citizen tend conference recently condition recently.
Give listen road interesting people. Tree strategy per. While relate executive value.
Past history catch add let state its.
Meeting few tree student. Sister us mind though similar change understand. I open low resource.",West James,English,0
a1beb566-dade-4cc6-b56d-ebeb7af5ceb7,Robin Wade,michaeljackson@example.org,+1-586-760-6909x31891,58,PhD,Liberty College,2014,31,"[{'title': 'ML Engineer', 'duration': 9, 'company': 'Duffy-Santana'}, {'title': 'ML Engineer', 'duration': 12, 'company': 'Whitehead-Ingram'}, {'title': 'ML Engineer', 'duration': 1, 'company': 'Jackson-Church'}, {'title': 'Product Manager', 'duration': 9, 'company': 'Jones, Trevino and Walters'}]","Python, C++, SQL, NoSQL, AWS, Azure, Docker, Kubernetes, React, Machine Learning, PyTorch, Spark, Hadoop, Communication, Teamwork, Leadership, Problem Solving, Time Management, Creativity",No,9,ML Engineer,Duffy-Santana,"Office each and Mrs heart beautiful increase political. Will similar sit build detail argue authority.
Will begin industry get key. They least animal entire manager box art. Month cell according way strong report increase society.
Return here song front civil threat. A attorney baby it usually.",West Lauramouth,English,0
31387aad-23a0-4946-97c2-7057393fe580,Wendy Gomez,jason17@example.com,3256055444,54,Bachelor's Degree,Polytechnic Institute,2022,28,"[{'title': 'QA Engineer', 'duration': 18, 'company': 'Jones-Reese'}, {'title': 'QA Engineer', 'duration': 7, 'company': 'Park, Davis and Woods'}, {'title': 'Systems Administrator', 'duration': 3, 'company': 'Kim LLC'}]","Java, JavaScript, C++, SQL, AWS, Azure, React, Angular, Machine Learning, Data Analysis, Spark, Hadoop, Communication, Teamwork, Problem Solving, Time Management, Creativity",Yes,12,QA Engineer,Jones-Reese,"At program enough middle clearly better describe. Want value goal central floor nor offer. Buy over decide according whose occur space. Economic able memory pick.
Final finish election student executive avoid. Rate reduce blood value home protect deep way.",Wendymouth,"English, Chinese",0
458d7f52-e5c5-4206-a4c6-3ff29014cecc,James Shaffer,hbowers@example.net,(638)385-1489x7259,34,Associate Degree,Tech Institute,2010,7,"[{'title': 'Project Manager', 'duration': 7, 'company': 'Hunter, Blair and Salas'}]","Python, Java, JavaScript, C++, SQL, NoSQL, Docker, Machine Learning, Data Analysis, TensorFlow, Spark, Hadoop, Communication, Teamwork, Leadership, Creativity",Yes,10,Project Manager,"Hunter, Blair and Salas","Responsibility despite hear traditional expert catch consumer. Imagine feeling mission animal word computer.
Collection begin citizen. Foreign stand find Mr those. These impact write agent.
Help morning huge room movie. Culture already computer world realize stage.",New Lisaville,English,0
4884a1c3-15a5-41ec-8f29-2edd1a89c2ed,Rebecca Huff,ucox@example.net,(600)942-7157x49485,42,Associate Degree,Oceanview University,2011,19,"[{'title': 'BI Developer', 'duration': 10, 'company': 'Anderson, Garcia and Bass'}, {'title': 'Systems Administrator', 'duration': 8, 'company': 'Montgomery-Henderson'}, {'title': 'Backend Developer', 'duration': 1, 'company': 'Walsh Inc'}]","Python, C++, SQL, NoSQL, AWS, Azure, Kubernetes, React, Data Analysis, TensorFlow, PyTorch, Communication, Teamwork, Leadership, Problem Solving, Time Management, Creativity",Yes,15,BI Developer,"Anderson, Garcia and Bass","Live year involve exist available feeling industry. Him once represent job.
Foreign actually end vote city cost yourself.
Performance political choose trial five how. Think participant believe much.
Collection seat tend Democrat nation. Keep air we contain in whether work.",Ambermouth,"English, Chinese",0
2e96141e-369e-4876-b226-f3c06e943279,Daniel Jackson,gcox@example.net,695-620-1622,56,Associate Degree,Metropolitan University,2011,20,"[{'title': 'Data Analyst', 'duration': 4, 'company': 'Bailey Group'}, {'title': 'BI Developer', 'duration': 1, 'company': 'Cole and Sons'}, {'title': 'Systems Administrator', 'duration': 15, 'company': 'Marshall-Ferguson'}]","Python, Java, JavaScript, C++, SQL, Kubernetes, React, Angular, Machine Learning, Data Analysis, PyTorch, Communication, Teamwork, Leadership, Problem Solving, Time Management",No,15,Data Analyst,Bailey Group,"This body believe coach mouth box different. Yet indeed various drive. Alone action order cost certain economic. Vote financial simple recognize.
Hotel goal beyond yes. Matter than early value.
Cup important city movement perform culture read. Word matter what. You whether Mr drop.",Lake Jean,"English, Chinese",0
2611fdd1-2d3e-4d86-9ebe-2fc497c4e365,Michael Harper,derrick56@example.com,+1-870-540-8511,35,PhD,Liberty College,2018,7,"[{'title': 'Systems Administrator', 'duration': 7, 'company': 'Patel PLC'}]","Python, JavaScript, SQL, NoSQL, AWS, React, Angular, Data Analysis, TensorFlow, PyTorch, Spark, Communication, Leadership, Problem Solving, Time Management, Creativity",No,4,Systems Administrator,Patel PLC,"This tonight mouth themselves protect area service. Find where exist difference specific.
Standard box official film kid. Moment factor conference focus success. Should series pressure member difference call drop.",Port Audreyland,"English, Spanish",1
